City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,west island,-12.1568,96.8225,26.99,83,100,3.6,CC,1701895136
82,altamont,42.2068,-121.7372,9.94,66,20,10.29,US,1701895136
83,sitka,57.0531,-135.33,5.94,70,100,3.6,US,1701895136
84,kerema,-7.9631,145.7785,25.4,87,100,2.47,PG,1701895136
85,punta arenas,-53.15,-70.9167,12.01,62,0,12.86,CL,1701895137
86,macau,22.2006,113.5461,18.85,63,0,8.23,MO,1701895137
87,chifeng,42.2683,118.9636,-4.68,59,42,1.94,CN,1701895137
88,harstad,68.799,16.5293,-2.69,82,94,10.73,NO,1701895137
89,gizo,-8.103,156.8419,27.68,85,100,10.37,SB,1701895137
90,wongsorejo,-7.9908,114.4009,25.8,86,89,4.16,ID,1701895137
91,pasuquin,18.3328,120.6177,25.97,83,20,5.66,PH,1701895137
92,puerto lempira,15.2667,-83.7667,27.08,78,75,5.14,HN,1701895137
93,thunder bay,48.4001,-89.3168,1.99,86,100,4.63,CA,1701895137
94,bremen,53.0752,8.8078,1.68,76,100,2.06,DE,1701895137
95,bikenibeu village,1.3673,173.1241,27.98,83,75,4.12,KI,1701895137
96,stanley,54.868,-1.6985,2.09,90,0,2.06,GB,1701895017
97,sainte-marie,-20.8968,55.5496,25.59,88,100,1.03,RE,1701895137
98,klyuchi,52.2667,79.1667,-12.12,68,100,9.04,RU,1701895138
99,port alfred,-33.5906,26.891,19.54,83,61,2.24,ZA,1701895138
100,saint-joseph,-21.3667,55.6167,24.71,78,48,2.73,RE,1701895138
101,coracora,-15.0333,-73.7833,17.31,32,100,5.56,PE,1701895138
102,buaran,-7.05,109.55,24.39,89,69,2.3,ID,1701895138
103,aleksandrovsk-sakhalinskiy,50.8975,142.1561,-1.35,92,100,3.39,RU,1701895138
104,ancud,-41.8697,-73.8203,14.6,72,13,3.75,CL,1701895138
105,fort mcmurray,56.7268,-111.381,5.77,56,0,5.66,CA,1701895047
106,mora,11.0461,14.1401,23.83,19,7,2.16,CM,1701895138
107,whitehorse,60.7161,-135.0538,-1.57,86,75,6.17,CA,1701894864
108,kingston,17.997,-76.7936,30.53,66,40,7.2,JM,1701895138
109,susuman,62.7833,148.1667,-49.45,99,71,0.45,RU,1701895138
110,auki,-8.7676,160.7034,25.68,88,100,3.82,SB,1701895138
111,tubarjal,30.4999,38.216,16.57,57,1,3.45,SA,1701895138
112,nandu,22.8525,110.8233,14.03,77,100,1.51,CN,1701895139
113,san antonio de pale,-1.4014,5.6325,27.0,79,25,4.85,GQ,1701895139
114,san angelo,31.4638,-100.437,22.38,52,20,5.66,US,1701894903
115,egilsstadir,65.2653,-14.3948,-9.05,92,75,1.03,IS,1701895139
116,codrington,-38.2667,141.9667,12.54,72,100,1.27,AU,1701895139
